area,n_neurons,metric,observed,null_p05,null_median,null_p95,empirical_p_value,analysis,p_holm,n_tests,n_subsamples_significant,n_subsamples
V1,5485,silhouette,0.0209782434885087,-0.0486545243978017,-0.0366907644118584,-0.0302811608818949,0.0009990009990009,all_neurons,0.0039960039960039,4.0,,
V1,5485,classifier,0.988962148962149,0.8035396825396826,0.8146275946275947,0.8256410256410256,0.0009990009990009,all_neurons,0.0039960039960039,4.0,,
AL,414,silhouette,-0.0175602716552113,-0.0575171069451965,-0.0422779903934949,-0.0330106813274918,0.0009990009990009,all_neurons,0.0039960039960039,4.0,,
AL,414,classifier,0.947032967032967,0.7703284493284493,0.7881318681318682,0.8057875457875457,0.0009990009990009,all_neurons,0.0039960039960039,4.0,,
LM,1262,silhouette,0.0311661985474047,-0.0541589223157502,-0.0393017197735885,-0.0312676689949846,0.0009990009990009,all_neurons,0.0039960039960039,4.0,,
LM,1262,classifier,0.9801221001221002,0.7902319902319902,0.8035653235653235,0.8189987789987789,0.0009990009990009,all_neurons,0.0039960039960039,4.0,,
RL,1033,silhouette,0.0108549190588218,-0.0481422422939383,-0.0370137917667261,-0.0309746099727737,0.0009990009990009,all_neurons,0.0039960039960039,4.0,,
RL,1033,classifier,0.977899877899878,0.7880818070818071,0.8034920634920635,0.8167777777777779,0.0009990009990009,all_neurons,0.0039960039960039,4.0,,
AL,414,silhouette,-0.0175602716552113,-0.0575171069451965,-0.0422779903934949,-0.0330106813274918,0.0009990009990009,equal_population,0.0039960039960039,4.0,1.0,1.0
AL,414,classifier,0.947032967032967,0.7703284493284493,0.7881318681318682,0.8057875457875457,0.0009990009990009,equal_population,0.0039960039960039,4.0,1.0,1.0
V1,414,silhouette,0.0040561828150213,-0.0502351651941553,-0.0374295114630662,-0.0305429052710505,0.0099009900990099,equal_population,0.0297029702970297,4.0,20.0,20.0
V1,414,classifier,0.9734676434676436,0.765934065934066,0.7858608058608059,0.8036385836385836,0.0099009900990099,equal_population,0.0297029702970297,4.0,20.0,20.0
LM,414,silhouette,0.023403280720946,-0.0556364102795613,-0.0398311940058333,-0.0313960926926282,0.0099009900990099,equal_population,0.0297029702970297,4.0,20.0,20.0
LM,414,classifier,0.9690964590964593,0.7681318681318682,0.7879731379731378,0.8057387057387058,0.0099009900990099,equal_population,0.0297029702970297,4.0,20.0,20.0
RL,414,silhouette,0.0125206578865732,-0.0495235393377601,-0.0374379547114076,-0.0309195628206598,0.0099009900990099,equal_population,0.0297029702970297,4.0,20.0,20.0
RL,414,classifier,0.9658241758241758,0.766152625152625,0.7860073260073259,0.8057631257631257,0.0099009900990099,equal_population,0.0297029702970297,4.0,20.0,20.0
V1,5485,silhouette,0.021541585501562144,-0.03923037023374566,-0.03298861955009509,-0.028201752282309183,0.000999000999000999,log_sensitivity,0.003996003996003996,4.0,,
V1,5485,classifier,0.988986568986569,0.8035897435897436,0.8167521367521366,0.8257924297924298,0.000999000999000999,log_sensitivity,0.003996003996003996,4.0,,
AL,414,silhouette,-0.01663981107105115,-0.0502433377127552,-0.038635196842363315,-0.030953324674521613,0.000999000999000999,log_sensitivity,0.003996003996003996,4.0,,
AL,414,classifier,0.9602686202686203,0.7661037851037851,0.7859584859584859,0.8056654456654456,0.000999000999000999,log_sensitivity,0.003996003996003996,4.0,,
LM,1262,silhouette,0.006048627077947745,-0.04714481754006215,-0.035470808634679635,-0.02941321066631396,0.000999000999000999,log_sensitivity,0.003996003996003996,4.0,,
LM,1262,classifier,0.9867399267399268,0.7881074481074481,0.8035897435897436,0.8168253968253969,0.000999000999000999,log_sensitivity,0.003996003996003996,4.0,,
RL,1033,silhouette,0.004722130947241313,-0.04086829663353852,-0.033938828395694356,-0.028686665872814016,0.000999000999000999,log_sensitivity,0.003996003996003996,4.0,,
RL,1033,classifier,0.9823443223443225,0.7837350427350426,0.8013675213675213,0.8147777777777776,0.000999000999000999,log_sensitivity,0.003996003996003996,4.0,,
