area,n_neurons,pair,metric,max_distance_observed,max_distance_cv,max_distance_null_p95,empirical_p_value,onset_frame,onset_ms,analysis,p_holm,n_tests
V1,5485,Clip/Monet2,full,14.627428341788098,9.90682140689177,16.688884341358968,0.5344655344655345,,,all_neurons,1.0,12.0
V1,5485,Clip/Trippy,full,17.064840272925387,11.278518266342571,16.69881143272079,0.0289710289710289,,,all_neurons,0.3186813186813187,12.0
V1,5485,Monet2/Trippy,full,19.959935010900157,12.449239098927624,21.460496008357783,0.3376623376623376,,,all_neurons,1.0,12.0
V1,5485,Clip/Monet2,top3_pc,9.87058631357291,9.750867569517704,4.921871164401032,0.0009990009990009,0.0,0.0,all_neurons,0.0119880119880119,12.0
V1,5485,Clip/Trippy,top3_pc,12.052828545606843,11.857904739718151,4.963488132802121,0.0009990009990009,0.0,0.0,all_neurons,0.0119880119880119,12.0
V1,5485,Monet2/Trippy,top3_pc,12.943260689043196,12.685014843582993,6.667294844384411,0.0009990009990009,0.0,0.0,all_neurons,0.0119880119880119,12.0
AL,414,Clip/Monet2,full,4.2839406045754975,3.176816341338787,4.911938070430151,0.4125874125874126,,,all_neurons,1.0,12.0
AL,414,Clip/Trippy,full,4.407429786528543,2.898267794916335,4.931035826015824,0.3106893106893107,,,all_neurons,1.0,12.0
AL,414,Monet2/Trippy,full,5.3047985924417445,3.1630572882436225,6.1700004503394625,0.7762237762237763,,,all_neurons,1.0,12.0
AL,414,Clip/Monet2,top3_pc,3.242431414818267,3.200333392768649,1.9826222670346685,0.0009990009990009,2.0,266.6666666666667,all_neurons,0.0119880119880119,12.0
AL,414,Clip/Trippy,top3_pc,2.925675122280291,2.8741337469547297,1.8951947988940252,0.0039960039960039,0.0,0.0,all_neurons,0.0119880119880119,12.0
AL,414,Monet2/Trippy,top3_pc,3.267326317794793,3.172561571849857,2.633539446141821,0.0059940059940059,16.0,2133.3333333333335,all_neurons,0.0119880119880119,12.0
LM,1262,Clip/Monet2,full,7.550575455161074,5.568495629507117,8.144648546016724,0.2377622377622377,,,all_neurons,1.0,12.0
LM,1262,Clip/Trippy,full,7.875697958398963,5.305320892864429,8.211465031949713,0.1078921078921078,,,all_neurons,1.0,12.0
LM,1262,Monet2/Trippy,full,9.477946247164711,5.924005502199709,10.617165083794852,0.5334665334665335,,,all_neurons,1.0,12.0
LM,1262,Clip/Monet2,top3_pc,5.833795286681613,5.783812542340651,2.1755242270240625,0.0009990009990009,0.0,0.0,all_neurons,0.0119880119880119,12.0
LM,1262,Clip/Trippy,top3_pc,5.940579461527739,5.846366656872485,2.2179477831590595,0.0009990009990009,0.0,0.0,all_neurons,0.0119880119880119,12.0
LM,1262,Monet2/Trippy,top3_pc,6.3587646821805235,6.259455616834466,2.8766162725609914,0.0009990009990009,0.0,0.0,all_neurons,0.0119880119880119,12.0
RL,1033,Clip/Monet2,full,6.931049995513758,5.638865632206034,7.203608766440068,0.1138861138861138,,,all_neurons,1.0,12.0
RL,1033,Clip/Trippy,full,7.631583044055113,5.1725286983358085,7.274766970659322,0.0099900099900099,,,all_neurons,0.1198801198801198,12.0
RL,1033,Monet2/Trippy,full,8.675280215664953,5.93411393195631,9.283455034369243,0.3076923076923077,,,all_neurons,1.0,12.0
RL,1033,Clip/Monet2,top3_pc,5.526025508882395,5.511863083648979,2.171058185943854,0.0009990009990009,0.0,0.0,all_neurons,0.0119880119880119,12.0
RL,1033,Clip/Trippy,top3_pc,5.156571491687576,5.089982153475028,2.241799766663111,0.0009990009990009,0.0,0.0,all_neurons,0.0119880119880119,12.0
RL,1033,Monet2/Trippy,top3_pc,5.932836341983062,5.884237226712581,2.903516886409483,0.0009990009990009,0.0,0.0,all_neurons,0.0119880119880119,12.0
AL,414,Clip/Monet2,full,4.2839406045754975,3.176816341338787,,,,,equal_population,,
AL,414,Clip/Trippy,full,4.407429786528543,2.898267794916335,,,,,equal_population,,
AL,414,Monet2/Trippy,full,5.3047985924417445,3.1630572882436225,,,,,equal_population,,
AL,414,Clip/Monet2,top3_pc,3.242431414818267,,,,,,equal_population,,
AL,414,Clip/Trippy,top3_pc,2.925675122280291,,,,,,equal_population,,
AL,414,Monet2/Trippy,top3_pc,3.267326317794793,,,,,,equal_population,,
V1,414,Clip/Monet2,full,4.23462689349698,2.9483944297210747,,,,,equal_population,,
V1,414,Clip/Trippy,full,4.837956528288938,3.3160214239638037,,,,,equal_population,,
V1,414,Monet2/Trippy,full,5.729908226466563,3.7250624003550623,,,,,equal_population,,
V1,414,Clip/Monet2,top3_pc,2.995243298823164,,,,,,equal_population,,
V1,414,Clip/Trippy,top3_pc,3.423930285524894,,,,,,equal_population,,
V1,414,Monet2/Trippy,top3_pc,3.7590685900093534,,,,,,equal_population,,
LM,414,Clip/Monet2,full,4.399804169623408,3.245222047035643,,,,,equal_population,,
LM,414,Clip/Trippy,full,4.7267101969700285,3.2380119997463153,,,,,equal_population,,
LM,414,Monet2/Trippy,full,5.68166591583997,3.8131994493661496,,,,,equal_population,,
LM,414,Clip/Monet2,top3_pc,3.356312396677051,,,,,,equal_population,,
LM,414,Clip/Trippy,top3_pc,3.4685608873243483,,,,,,equal_population,,
LM,414,Monet2/Trippy,top3_pc,3.962653763028,,,,,,equal_population,,
RL,414,Clip/Monet2,full,4.407771663469929,3.544550667463186,,,,,equal_population,,
RL,414,Clip/Trippy,full,4.851595745168847,3.3499989337173357,,,,,equal_population,,
RL,414,Monet2/Trippy,full,5.529370610993038,3.7206605580441527,,,,,equal_population,,
RL,414,Clip/Monet2,top3_pc,3.5196774831433157,,,,,,equal_population,,
RL,414,Clip/Trippy,top3_pc,3.41533586621974,,,,,,equal_population,,
RL,414,Monet2/Trippy,top3_pc,3.8985081867250218,,,,,,equal_population,,
V1,5485,Clip/Monet2,full,20.06334744902201,10.510224498149483,,,,,clip_matched,,
V1,5485,Clip/Trippy,full,21.06271903106031,11.652904870580679,,,,,clip_matched,,
V1,5485,Monet2/Trippy,full,19.959935010900157,12.696540485479682,,,,,clip_matched,,
V1,5485,Clip/Monet2,top3_pc,12.652715831572834,,,,,,clip_matched,,
V1,5485,Clip/Trippy,top3_pc,12.705541454979326,,,,,,clip_matched,,
V1,5485,Monet2/Trippy,top3_pc,12.559005359342574,,,,,,clip_matched,,
