area,n_neurons,pair,metric,max_distance_observed,max_distance_null_p95,empirical_p_value,onset_frame,onset_ms,analysis,session
V1,5485,Clip/Monet2,full,14.627428341788098,16.347990926164464,0.5841584158415841,,,all_neurons,7_5
V1,5485,Clip/Trippy,full,17.064840272925387,16.717895936129526,0.0594059405940594,2.0,266.6666666666667,all_neurons,7_5
V1,5485,Monet2/Trippy,full,19.959935010900157,21.464129882655428,0.3663366336633663,53.0,7066.666666666667,all_neurons,7_5
V1,5485,Clip/Monet2,top3_pc,9.870586313572906,5.081990655645324,0.0099009900990099,2.0,266.6666666666667,all_neurons,7_5
V1,5485,Clip/Trippy,top3_pc,12.05282854560685,5.6593973465364265,0.0099009900990099,1.0,133.33333333333334,all_neurons,7_5
V1,5485,Monet2/Trippy,top3_pc,12.943260689043186,6.922111465943736,0.0099009900990099,1.0,133.33333333333334,all_neurons,7_5
AL,414,Clip/Monet2,full,4.2839406045754975,4.847497008579939,0.4455445544554455,,,all_neurons,7_5
AL,414,Clip/Trippy,full,4.407429786528543,4.821612310808753,0.2178217821782178,,,all_neurons,7_5
AL,414,Monet2/Trippy,full,5.3047985924417445,6.120869333901362,0.7623762376237624,,,all_neurons,7_5
AL,414,Clip/Monet2,top3_pc,3.2424314148182662,2.1272251864313816,0.0099009900990099,3.0,400.0,all_neurons,7_5
AL,414,Clip/Trippy,top3_pc,2.925675122280291,1.7875113792627677,0.0099009900990099,3.0,400.0,all_neurons,7_5
AL,414,Monet2/Trippy,top3_pc,3.267326317794788,2.8269393750395726,0.0198019801980198,,,all_neurons,7_5
LM,1262,Clip/Monet2,full,7.550575455161074,8.03834449859427,0.2871287128712871,3.0,400.0,all_neurons,7_5
LM,1262,Clip/Trippy,full,7.875697958398963,8.229501414339836,0.0891089108910891,3.0,400.0,all_neurons,7_5
LM,1262,Monet2/Trippy,full,9.477946247164711,10.626907952351091,0.4752475247524752,,,all_neurons,7_5
LM,1262,Clip/Monet2,top3_pc,5.833795286681608,2.117347003495632,0.0099009900990099,0.0,0.0,all_neurons,7_5
LM,1262,Clip/Trippy,top3_pc,5.940579461527741,2.107528489841532,0.0099009900990099,0.0,0.0,all_neurons,7_5
LM,1262,Monet2/Trippy,top3_pc,6.358764682180527,2.907563661608375,0.0099009900990099,1.0,133.33333333333334,all_neurons,7_5
RL,1033,Clip/Monet2,full,6.931049995513758,7.05118329087901,0.099009900990099,3.0,400.0,all_neurons,7_5
RL,1033,Clip/Trippy,full,7.631583044055113,7.173466116583527,0.0198019801980198,2.0,266.6666666666667,all_neurons,7_5
RL,1033,Monet2/Trippy,full,8.675280215664953,9.211174807636974,0.2871287128712871,,,all_neurons,7_5
RL,1033,Clip/Monet2,top3_pc,5.526025508882399,2.108785717537206,0.0099009900990099,0.0,0.0,all_neurons,7_5
RL,1033,Clip/Trippy,top3_pc,5.156571491687581,2.303577203791982,0.0099009900990099,0.0,0.0,all_neurons,7_5
RL,1033,Monet2/Trippy,top3_pc,5.932836341983061,2.8279271334247715,0.0099009900990099,1.0,133.33333333333334,all_neurons,7_5
