hash,category,movie_name,n_trials,n_frames_clip
5zQTb77qI+ig8rigx1XU,Cinematic,Mad Max: Fury Road (2015),10,75
7UETOWO5Z8aWuHDBJ2GG,Cinematic,Star Wars: Episode VII - The Force Awakens (2015),10,75
NWqTwzuwGakTM37kHKK4,Cinematic,The Matrix Revolutions (2003),2,75
iYxs1vPwdSenUzRva/I3,Cinematic,Mad Max: Fury Road (2015),2,75
N1Sn679rCW0XsG5S7c/C,Cinematic,Star Wars: Episode VII - The Force Awakens (2015),2,75
iXM+aZY10zP+t3wPmZOW,Cinematic,The Matrix Reloaded (2003),2,75
mjtZRmGqaXCHGB59txoI,Cinematic,Powaqqatsi: Life in Transformation (1988),2,75
RL8zpBtdUqrcItpujIVj,Cinematic,Powaqqatsi: Life in Transformation (1988),2,75
YxZMp94AewnnwYmjI/0v,Cinematic,Koyaanisqatsi: Life Out of Balance (1982),2,75
Hx7nWm9l4FGDuTlUO/17,Cinematic,The Matrix Reloaded (2003),2,75
YWGU9pCJb1jD1EEZ20tf,Cinematic,The Matrix Reloaded (2003),2,75
GLb98O6GN6r7256/fA8Y,Cinematic,The Matrix (1999),2,75
cK20wOm48y1gpxBcZuzN,Cinematic,The Matrix Reloaded (2003),2,75
s8DvZS/fghphUcTsLOzM,Cinematic,The Matrix (1999),2,75
Lp/pttdcIH1AZsCOGZuG,Cinematic,Naqoyqatsi: Life as War (2002),2,75
mG4xsIyTTnaRWKW82yeD,Cinematic,The Matrix (1999),2,75
hnYVTt6SOC5gw43jdDOb,Cinematic,Mad Max: Fury Road (2015),2,75
W72D46ICk0GV1uh0E98o,Cinematic,The Matrix (1999),2,75
rKhBb2Q+dILxw3t33TsJ,Cinematic,The Matrix Revolutions (2003),2,75
UIRT1CCHgVDfheNGYQd6,Cinematic,Star Wars: Episode VII - The Force Awakens (2015),2,75
8PA1UPAZQPiLL4qyfbe0,Cinematic,Star Wars: Episode VII - The Force Awakens (2015),2,75
0JcYLY6eaQxNgD0AqyHf,Cinematic,The Matrix Revolutions (2003),2,75
4tIOoaR5VNXdEFB3JLsd,Cinematic,Naqoyqatsi: Life as War (2002),2,75
gnKtNfR9QYEW0PRkfRU4,Cinematic,The Matrix Reloaded (2003),2,75
LfckM0X1gCCgUlsmXIea,Cinematic,The Matrix Revolutions (2003),2,75
Ta17hPcaONVDy5sPjE9z,Cinematic,The Matrix Reloaded (2003),2,75
QmynNYnz4Q0hMBpTZ/xv,Cinematic,Koyaanisqatsi: Life Out of Balance (1982),2,75
0ir9/br3yxbe2BBf65zF,Cinematic,The Matrix Reloaded (2003),2,75
NM2SnnQwIoj8iKOMP6xA,Cinematic,Naqoyqatsi: Life as War (2002),2,75
uWDM4AAJ+PIdXzpPxOha,Cinematic,Mad Max: Fury Road (2015),2,75
ysjy6YgGXX5+mcx52KSM,Cinematic,The Matrix Reloaded (2003),2,75
ihsP/Q14/eSpxdQLR3F4,Cinematic,Mad Max: Fury Road (2015),2,75
K+P79m2zZLQLffbJihvd,Cinematic,The Matrix Revolutions (2003),1,75
NOaxHwZRI5LI1TSt83z+,Cinematic,Star Wars: Episode VII - The Force Awakens (2015),1,75
X27MH9S0MVucJh+TobYb,Cinematic,Mad Max: Fury Road (2015),1,75
DA79hth+CT2vRBzY10ya,Cinematic,The Matrix (1999),1,75
tZqanyT5VPd27r5LWKou,Cinematic,The Matrix Reloaded (2003),1,75
uuu+f86r5OXxux3n5lmX,Cinematic,The Matrix Reloaded (2003),1,75
05BCLyVqc28lJFtLO0ed,Cinematic,Mad Max: Fury Road (2015),1,75
8Ky+ARinbUd8o8Afvqp9,Cinematic,Mad Max: Fury Road (2015),1,75
MTxPQE+CMVWgDBJRE6aJ,Cinematic,The Matrix Revolutions (2003),1,75
Mfl0AgxTb6LyI3IrPILq,Cinematic,Koyaanisqatsi: Life Out of Balance (1982),1,75
JeIGdoPVaIgcIC0lHgMD,Cinematic,Mad Max: Fury Road (2015),1,75
V4piKM0d2gpLe9N6RYP/,Cinematic,Mad Max: Fury Road (2015),1,75
/5KYggaBDxG7uxMGf589,Cinematic,The Matrix (1999),1,75
iis/OrRHQMEZmixlkj/f,Cinematic,The Matrix Revolutions (2003),1,75
zUA2FC1jvfcsvSCgXbeI,Cinematic,The Matrix Revolutions (2003),1,75
gIDZSG9gBAo6/LotrZzR,Cinematic,The Matrix Reloaded (2003),1,75
tHU5qaaJjdAaTv1fkTNR,Cinematic,Star Wars: Episode VII - The Force Awakens (2015),1,75
