area,n_neurons,pair,metric,max_distance_observed,max_distance_null_p95,empirical_p_value,onset_frame,onset_ms,analysis
V1,5485,Cinematic/Rendered,full,12.57964304770019,11.816681166328824,0.0198019801980198,2.0,266.6666666666667,all_neurons
V1,5485,Cinematic/sports1m,full,13.387418664321553,11.523567194151186,0.0099009900990099,2.0,266.6666666666667,all_neurons
V1,5485,Rendered/sports1m,full,12.559754031608511,11.75560433182981,0.0099009900990099,2.0,266.6666666666667,all_neurons
V1,5485,Cinematic/Rendered,top3_pc,5.755660583483068,4.147438470399555,0.0099009900990099,3.0,400.0,all_neurons
V1,5485,Cinematic/sports1m,top3_pc,7.593792137718469,3.942284127692507,0.0099009900990099,2.0,266.6666666666667,all_neurons
V1,5485,Rendered/sports1m,top3_pc,7.453398662020262,4.144373027346679,0.0099009900990099,3.0,400.0,all_neurons
AL,414,Cinematic/Rendered,full,4.747517820044668,3.2881046303813988,0.0099009900990099,2.0,266.6666666666667,all_neurons
AL,414,Cinematic/sports1m,full,3.7097278615421594,3.32059180120941,0.0099009900990099,2.0,266.6666666666667,all_neurons
AL,414,Rendered/sports1m,full,5.200468498467011,3.322939038195467,0.0099009900990099,2.0,266.6666666666667,all_neurons
AL,414,Cinematic/Rendered,top3_pc,3.846390193736287,1.7941715213283314,0.0099009900990099,4.0,533.3333333333334,all_neurons
AL,414,Cinematic/sports1m,top3_pc,2.16742106662367,1.701036101185162,0.0198019801980198,,,all_neurons
AL,414,Rendered/sports1m,top3_pc,4.161134267171622,1.5025161396255278,0.0099009900990099,2.0,266.6666666666667,all_neurons
LM,1262,Cinematic/Rendered,full,6.802968916317535,5.901064868844791,0.0099009900990099,2.0,266.6666666666667,all_neurons
LM,1262,Cinematic/sports1m,full,6.679891318078504,5.715750144791666,0.0099009900990099,2.0,266.6666666666667,all_neurons
LM,1262,Rendered/sports1m,full,7.339466351381808,5.9538517099483395,0.0099009900990099,2.0,266.6666666666667,all_neurons
LM,1262,Cinematic/Rendered,top3_pc,4.308066620085729,2.0871446052466083,0.0099009900990099,3.0,400.0,all_neurons
LM,1262,Cinematic/sports1m,top3_pc,3.753719571051802,1.9549768293726129,0.0099009900990099,2.0,266.6666666666667,all_neurons
LM,1262,Rendered/sports1m,top3_pc,4.331581293656372,2.147650368769747,0.0099009900990099,2.0,266.6666666666667,all_neurons
RL,1033,Cinematic/Rendered,full,6.016310896377004,5.161065467494,0.0099009900990099,2.0,266.6666666666667,all_neurons
RL,1033,Cinematic/sports1m,full,5.36266739394131,5.058427180742422,0.0099009900990099,2.0,266.6666666666667,all_neurons
RL,1033,Rendered/sports1m,full,6.152528269414653,4.989375964044374,0.0099009900990099,2.0,266.6666666666667,all_neurons
RL,1033,Cinematic/Rendered,top3_pc,3.81740805284936,1.9231660598309015,0.0099009900990099,2.0,266.6666666666667,all_neurons
RL,1033,Cinematic/sports1m,top3_pc,3.1809348700388123,2.0261966003810628,0.0099009900990099,3.0,400.0,all_neurons
RL,1033,Rendered/sports1m,top3_pc,3.622222265946126,1.8759706871604551,0.0099009900990099,3.0,400.0,all_neurons
AL,414,Cinematic/Rendered,full,4.747517820044668,,,,,equal_population
AL,414,Cinematic/sports1m,full,3.7097278615421594,,,,,equal_population
AL,414,Rendered/sports1m,full,5.200468498467011,,,,,equal_population
AL,414,Cinematic/Rendered,top3_pc,3.8463901937362874,,,,,equal_population
AL,414,Cinematic/sports1m,top3_pc,2.16742106662367,,,,,equal_population
AL,414,Rendered/sports1m,top3_pc,4.161134267171622,,,,,equal_population
V1,414,Cinematic/Rendered,full,3.5218389217452994,,,,,equal_population
V1,414,Cinematic/sports1m,full,3.6416417519334647,,,,,equal_population
V1,414,Rendered/sports1m,full,3.5529050225925074,,,,,equal_population
V1,414,Cinematic/Rendered,top3_pc,1.8481425938952738,,,,,equal_population
V1,414,Cinematic/sports1m,top3_pc,2.135994096909178,,,,,equal_population
V1,414,Rendered/sports1m,top3_pc,2.197866628002016,,,,,equal_population
LM,414,Cinematic/Rendered,full,3.935926899517158,,,,,equal_population
LM,414,Cinematic/sports1m,full,3.7590236965248165,,,,,equal_population
LM,414,Rendered/sports1m,full,4.2845260403300145,,,,,equal_population
LM,414,Cinematic/Rendered,top3_pc,2.489433429739873,,,,,equal_population
LM,414,Cinematic/sports1m,top3_pc,2.076867921680879,,,,,equal_population
LM,414,Rendered/sports1m,top3_pc,2.5957990768217423,,,,,equal_population
RL,414,Cinematic/Rendered,full,3.813650785069257,,,,,equal_population
RL,414,Cinematic/sports1m,full,3.4286827139626554,,,,,equal_population
RL,414,Rendered/sports1m,full,3.9376916440025367,,,,,equal_population
RL,414,Cinematic/Rendered,top3_pc,2.4825021998927417,,,,,equal_population
RL,414,Cinematic/sports1m,top3_pc,2.066602060052489,,,,,equal_population
RL,414,Rendered/sports1m,top3_pc,2.3727623059821963,,,,,equal_population
