area,n_neurons,pair,metric,max_distance_observed,max_distance_cv,max_distance_null_p95,empirical_p_value,onset_frame,onset_ms,analysis,p_holm,n_tests,session
V1,5485,Cinematic/Rendered,full,12.57964304770019,4.591842448372686,13.082876267714408,0.1948051948051948,,,all_neurons,0.6993006993006993,12.0,7_5
V1,5485,Cinematic/sports1m,full,13.387418664321553,6.330871097159589,13.006504329750976,0.0139860139860139,,,all_neurons,0.0979020979020979,12.0,7_5
V1,5485,Rendered/sports1m,full,12.559754031608511,6.9792074708525655,13.023443960571951,0.1748251748251748,,,all_neurons,0.6993006993006993,12.0,7_5
V1,5485,Cinematic/Rendered,top3_pc,5.755660583483072,5.411042206847744,5.312345717843312,0.0219780219780219,3.0,400.0,all_neurons,0.0439560439560439,12.0,7_5
V1,5485,Cinematic/sports1m,top3_pc,7.593792137718486,7.408338638344003,5.4118030298892785,0.0009990009990009,3.0,400.0,all_neurons,0.0119880119880119,12.0,7_5
V1,5485,Rendered/sports1m,top3_pc,7.453398662020267,7.215398111116205,5.340283260453449,0.0009990009990009,3.0,400.0,all_neurons,0.0119880119880119,12.0,7_5
AL,414,Cinematic/Rendered,full,4.747517820044668,3.19125651710045,3.9926734959916903,0.0009990009990009,3.0,400.0,all_neurons,0.0119880119880119,12.0,7_5
AL,414,Cinematic/sports1m,full,3.7097278615421594,2.0212808658221815,3.981574797448671,0.2007992007992008,,,all_neurons,0.6993006993006993,12.0,7_5
AL,414,Rendered/sports1m,full,5.200468498467011,3.734689100665764,4.0338538722817,0.0009990009990009,3.0,400.0,all_neurons,0.0119880119880119,12.0,7_5
AL,414,Cinematic/Rendered,top3_pc,3.846390193736288,3.5361472450270246,2.349020869668637,0.0009990009990009,3.0,400.0,all_neurons,0.0119880119880119,12.0,7_5
AL,414,Cinematic/sports1m,top3_pc,2.167421066623671,2.026964936611087,2.3601826366485237,0.0839160839160839,,,all_neurons,0.0839160839160839,12.0,7_5
AL,414,Rendered/sports1m,top3_pc,4.161134267171623,3.914626440852756,2.424188490118733,0.0009990009990009,2.0,266.6666666666667,all_neurons,0.0119880119880119,12.0,7_5
LM,1262,Cinematic/Rendered,full,6.802968916317535,3.67471717297102,6.818342768216999,0.0559440559440559,,,all_neurons,0.3356643356643357,12.0,7_5
LM,1262,Cinematic/sports1m,full,6.679891318078504,2.9092591856761763,6.7205394841344965,0.0599400599400599,,,all_neurons,0.3356643356643357,12.0,7_5
LM,1262,Rendered/sports1m,full,7.339466351381808,3.7702634009833016,6.718410063420966,0.0019980019980019,3.0,400.0,all_neurons,0.0199800199800199,12.0,7_5
LM,1262,Cinematic/Rendered,top3_pc,4.308066620085731,4.064974930744007,2.682620414565532,0.0009990009990009,3.0,400.0,all_neurons,0.0119880119880119,12.0,7_5
LM,1262,Cinematic/sports1m,top3_pc,3.753719571051803,3.310902398805102,2.8081458141899382,0.0059940059940059,2.0,266.6666666666667,all_neurons,0.0179820179820179,12.0,7_5
LM,1262,Rendered/sports1m,top3_pc,4.331581293656377,4.017789278162891,2.675758476459559,0.0009990009990009,2.0,266.6666666666667,all_neurons,0.0119880119880119,12.0,7_5
RL,1033,Cinematic/Rendered,full,6.016310896377004,2.774472266526556,5.716643362187638,0.0069930069930069,,,all_neurons,0.0559440559440559,12.0,7_5
RL,1033,Cinematic/sports1m,full,5.36266739394131,2.557947948625367,5.714959543057677,0.3146853146853147,,,all_neurons,0.6993006993006993,12.0,7_5
RL,1033,Rendered/sports1m,full,6.152528269414653,2.901697029428105,5.704552266650947,0.0059940059940059,,,all_neurons,0.0539460539460539,12.0,7_5
RL,1033,Cinematic/Rendered,top3_pc,3.8174080528493546,3.5627798584640806,2.6099989720106715,0.0009990009990009,2.0,266.6666666666667,all_neurons,0.0119880119880119,12.0,7_5
RL,1033,Cinematic/sports1m,top3_pc,3.18093487003881,3.0478483291367815,2.6195334303890063,0.0039960039960039,3.0,400.0,all_neurons,0.0159840159840159,12.0,7_5
RL,1033,Rendered/sports1m,top3_pc,3.6222222659461223,3.40975012392752,2.5895273727082837,0.0009990009990009,3.0,400.0,all_neurons,0.0119880119880119,12.0,7_5
